Zeit_Messung (sec);R (Ohm)
610,57;375,56
610,69;375,59
610,82;375,62
610,98;375,64
611,07;375,68
611,19;375,70
611,32;375,73
611,44;375,75
611,57;375,77
611,69;375,79
611,82;375,82
611,94;375,85
612,07;375,87
612,19;375,89
612,32;375,91
612,44;375,94
612,57;375,96
612,69;375,98
612,82;375,99
612,94;376,02
613,07;376,03
613,19;376,06
613,32;376,07
613,44;376,10
613,57;376,12
613,69;376,13
613,82;376,15
613,94;376,18
614,07;376,19
614,19;376,22
614,32;376,23
614,44;376,25
614,57;376,27
614,69;376,29
614,82;376,30
614,94;376,31
615,07;376,33
615,19;376,35
615,32;376,37
615,44;376,38
615,57;376,40
615,69;376,42
615,82;376,44
615,94;376,45
616,07;376,46
616,19;376,48
616,32;376,49
616,44;376,51
616,57;376,51
616,69;376,53
616,82;376,55
616,94;376,56
617,07;376,58
617,19;376,59
617,32;376,60
617,44;376,62
617,57;376,63
617,69;376,65
617,82;376,67
617,94;376,67
618,07;376,69
618,19;376,69
618,32;376,71
618,44;376,71
618,57;376,73
618,69;376,74
618,82;376,75
618,94;376,77
619,07;376,77
619,19;376,79
619,32;376,79
619,44;376,81
619,57;376,82
619,69;376,82
619,82;376,84
619,94;376,84
620,07;376,86
620,19;376,87
620,32;376,88
620,44;376,88
620,57;376,90
620,69;376,91
620,82;376,92
620,94;376,93
621,07;376,94
621,19;376,95
621,32;376,95
621,44;376,96
621,57;376,97
621,69;376,97
621,82;376,99
621,94;376,99
622,07;376,99
622,19;377,01
622,32;377,02
622,44;377,03
622,57;377,03
622,69;377,04
622,82;377,05
622,94;377,06
623,07;377,07
623,19;377,08
623,32;377,08
623,44;377,09
623,57;377,10
623,69;377,10
623,82;377,11
623,94;377,12
624,07;377,13
624,19;377,14
624,32;377,14
624,44;377,14
624,57;377,15
624,69;377,16
624,82;377,16
624,94;377,17
625,07;377,17
625,19;377,18
625,32;377,19
625,44;377,19
625,57;377,20
625,69;377,21
625,82;377,21
625,94;377,21
626,11;377,22
626,19;377,22
626,32;377,24
626,44;377,23
626,57;377,24
626,69;377,25
626,82;377,25
626,94;377,26
627,07;377,27
627,19;377,27
627,32;377,27
627,44;377,28
627,57;377,28
627,69;377,28
627,82;377,29
627,94;377,29
628,07;377,29
628,19;377,30
628,32;377,30
628,44;377,31
628,57;377,32
628,69;377,32
628,82;377,33
628,94;377,33
629,07;377,34
629,19;377,35
629,32;377,35
629,44;377,35
629,57;377,35
629,69;377,36
629,82;377,36
629,94;377,36
630,07;377,37
630,19;377,36
630,32;377,37
630,44;377,37
630,57;377,38
630,69;377,38
630,82;377,38
630,94;377,39
631,07;377,39
631,19;377,40
631,32;377,40
631,44;377,41
631,57;377,41
631,69;377,41
631,82;377,41
631,94;377,42
632,07;377,42
632,19;377,42
632,32;377,43
632,44;377,43
632,57;377,43
632,69;377,44
632,82;377,44
632,94;377,44
633,07;377,44
633,19;377,45
633,32;377,45
633,44;377,45
633,57;377,45
633,69;377,45
633,82;377,46
633,94;377,46
634,07;377,46
634,19;377,46
634,32;377,47
634,44;377,47
634,57;377,47
634,69;377,48
634,82;377,48
634,94;377,48
635,07;377,48
635,19;377,49
635,32;377,49
635,44;377,50
635,57;377,50
635,69;377,50
635,82;377,50
635,94;377,50
636,07;377,50
636,19;377,51
636,32;377,51
636,44;377,51
636,57;377,51
636,69;377,51
636,82;377,52
636,94;377,52
637,07;377,52
637,19;377,52
637,32;377,53
637,44;377,53
637,57;377,53
637,69;377,53
637,82;377,53
637,94;377,54
638,07;377,54
638,19;377,54
638,32;377,54
638,44;377,54
638,57;377,54
638,69;377,55
638,82;377,55
638,94;377,55
639,07;377,56
639,19;377,55
639,32;377,55
639,44;377,55
639,57;377,56
639,69;377,56
639,82;377,56
639,94;377,56
640,07;377,57
640,19;377,57
640,32;377,56
640,44;377,57
640,57;377,57
640,69;377,57
640,82;377,56
640,94;377,57
641,07;377,58
641,23;377,57
641,32;377,57
641,44;377,57
641,57;377,58
641,69;377,58
641,82;377,58
641,94;377,58
642,07;377,58
642,19;377,58
642,32;377,59
642,44;377,58
642,57;377,58
642,69;377,59
642,82;377,59
642,94;377,60
643,07;377,60
643,19;377,60
643,32;377,60
643,44;377,60
643,57;377,60
643,69;377,60
643,82;377,60
643,94;377,60
644,07;377,61
644,19;377,60
644,32;377,61
644,44;377,61
644,57;377,61
644,69;377,62
644,82;377,61
644,94;377,62
645,07;377,61
645,19;377,61
645,32;377,61
645,44;377,62
645,57;377,61
645,69;377,62
645,82;377,61
645,94;377,62
646,07;377,62
646,19;377,62
646,32;377,62
646,44;377,62
646,57;377,62
646,69;377,62
646,82;377,62
646,94;377,62
647,07;377,62
647,19;377,62
647,32;377,63
647,44;377,63
647,57;377,63
647,69;377,63
647,82;377,63
647,94;377,63
648,07;377,63
648,19;377,64
648,32;377,64
648,44;377,63
648,57;377,63
648,69;377,63
648,82;377,63
648,94;377,63
649,07;377,64
649,19;377,64
649,32;377,64
649,44;377,65
649,57;377,65
649,69;377,64
649,82;377,64
649,94;377,64
650,07;377,65
650,19;377,65
650,32;377,65
650,44;377,65
650,57;377,66
650,69;377,65
650,82;377,66
650,94;377,65
651,07;377,65
651,19;377,65
651,32;377,65
651,44;377,65
651,57;377,65
651,69;377,66
651,82;377,66
651,94;377,65
652,07;377,66
652,19;377,66
652,32;377,66
652,44;377,65
652,57;377,66
652,69;377,66
652,82;377,66
652,94;377,66
653,07;377,66
653,19;377,66
653,32;377,66
653,44;377,66
653,57;377,66
653,69;377,66
653,82;377,65
653,94;377,66
654,07;377,66
654,19;377,66
654,32;377,67
654,44;377,66
654,57;377,66
654,69;377,67
654,82;377,66
654,94;377,66
655,07;377,66
655,19;377,66
655,32;377,66
655,44;377,66
655,57;377,66
655,69;377,66
655,82;377,67
655,94;377,67
656,07;377,67
656,19;377,67
656,36;377,67
656,44;377,67
656,57;377,67
656,69;377,67
656,82;377,68
656,94;377,67
657,07;377,67
657,19;377,67
657,32;377,67
657,44;377,67
657,57;377,67
657,69;377,67
657,82;377,67
657,94;377,68
658,07;377,67
658,19;377,67
658,32;377,68
658,44;377,67
658,57;377,68
658,69;377,67
658,82;377,67
658,94;377,68
659,07;377,67
659,19;377,68
659,32;377,67
659,44;377,68
659,57;377,68
659,69;377,68
659,82;377,68
659,94;377,68
660,07;377,68
660,19;377,67
660,32;377,68
660,44;377,68
660,57;377,68
660,69;377,68
660,82;377,68
660,94;377,68
661,07;377,69
661,19;377,68
661,32;377,68
661,44;377,68
661,57;377,68
661,69;377,68
661,82;377,68
661,94;377,67
662,07;377,67
662,19;377,67
662,32;377,68
662,44;377,69
662,57;377,68
662,69;377,69
662,82;377,69
662,94;377,68
663,07;377,69
663,19;377,68
663,32;377,69
663,44;377,69
663,57;377,69
663,69;377,68
663,82;377,69
663,94;377,69
664,07;377,69
664,19;377,69
664,32;377,69
664,44;377,69
664,57;377,69
664,69;377,68
664,82;377,69
664,94;377,69
665,07;377,68
665,19;377,69
665,32;377,68
665,44;377,69
665,57;377,69
665,69;377,68
665,82;377,68
665,94;377,69
666,07;377,68
666,19;377,69
666,32;377,69
666,44;377,68
666,57;377,68
666,69;377,69
666,82;377,69
666,94;377,69
667,07;377,69
667,19;377,69
667,32;377,69
667,44;377,70
667,57;377,69
667,69;377,69
667,82;377,69
667,94;377,69
668,07;377,69
668,19;377,69
668,32;377,69
668,44;377,69
668,57;377,69
668,69;377,69
668,82;377,69
668,94;377,69
669,07;377,69
669,19;377,70
669,32;377,70
669,44;377,69
669,57;377,69
669,69;377,69
669,82;377,69
669,94;377,69
670,07;377,69
670,19;377,69
670,32;377,69
670,44;377,69
670,57;377,69
670,69;377,69
670,82;377,69
670,94;377,69
671,07;377,69
671,19;377,69
671,32;377,69
671,48;377,69
671,57;377,69
671,69;377,68
671,82;377,69
671,94;377,69
672,07;377,69
672,19;377,69
672,32;377,69
672,44;377,68
672,57;377,68
672,69;377,68
672,82;377,69
672,94;377,69
673,07;377,69
673,19;377,69
673,32;377,69
673,44;377,69
673,57;377,69
673,69;377,68
673,82;377,69
673,94;377,69
674,07;377,68
674,19;377,69
674,32;377,69
674,44;377,69
674,57;377,68
674,69;377,68
674,82;377,69
674,94;377,69
675,07;377,69
675,19;377,68
675,32;377,68
675,44;377,69
675,57;377,69
675,69;377,68
675,82;377,68
675,94;377,69
676,07;377,69
676,19;377,69
676,32;377,68
676,44;377,68
676,57;377,69
676,69;377,69
676,82;377,69
676,94;377,69
677,07;377,69
677,19;377,68
677,32;377,69
677,44;377,69
677,57;377,69
677,69;377,69
677,82;377,70
677,94;377,69
678,07;377,69
678,19;377,69
678,32;377,69
678,44;377,69
678,57;377,68
678,69;377,69
678,82;377,69
678,94;377,69
679,07;377,69
679,19;377,69
679,32;377,69
679,44;377,69
679,57;377,69
679,69;377,68
679,82;377,69
679,94;377,68
680,07;377,68
680,19;377,69
680,32;377,69
680,44;377,69
680,57;377,69
680,69;377,68
680,82;377,69
680,94;377,68
681,07;377,68
681,19;377,69
681,32;377,69
681,44;377,69
681,57;377,68
681,69;377,68
681,82;377,68
681,94;377,69
682,07;377,68
682,19;377,68
682,32;377,69
682,44;377,68
682,57;377,68
682,69;377,68
682,82;377,68
682,94;377,69
683,07;377,69
683,19;377,69
683,32;377,68
683,44;377,68
683,57;377,68
683,69;377,68
683,82;377,68
683,94;377,68
684,07;377,68
684,19;377,69
684,32;377,68
684,44;377,68
684,57;377,68
684,69;377,69
684,82;377,68
684,94;377,68
685,07;377,68
685,19;377,68
685,32;377,68
685,44;377,68
685,57;377,68
685,69;377,68
685,82;377,68
685,94;377,68
686,07;377,68
686,19;377,68
686,32;377,69
686,44;377,68
686,61;377,67
686,69;377,68
686,82;377,68
686,94;377,68
687,07;377,68
687,19;377,68
687,32;377,68
687,44;377,68
687,57;377,68
687,69;377,68
687,82;377,68
687,94;377,69
688,07;377,68
688,19;377,69
688,32;377,68
688,44;377,68
688,57;377,68
688,69;377,69
688,82;377,69
688,94;377,68
689,07;377,69
689,19;377,69
689,32;377,68
689,44;377,68
689,57;377,68
689,69;377,68
689,82;377,68
689,94;377,69
690,07;377,69
690,19;377,68
690,32;377,68
690,44;377,68
690,57;377,68
690,69;377,68
690,82;377,67
690,94;377,68
691,07;377,67
691,19;377,67
691,32;377,68
691,44;377,68
691,57;377,67
691,69;377,67
691,82;377,68
691,94;377,68
692,07;377,68
692,19;377,68
692,32;377,68
692,44;377,68
692,57;377,68
692,69;377,67
692,82;377,68
692,94;377,68
693,07;377,68
693,19;377,67
693,32;377,67
693,44;377,67
693,57;377,68
693,69;377,67
693,82;377,68
693,94;377,68
694,07;377,68
694,19;377,68
694,32;377,68
694,44;377,68
694,57;377,68
694,69;377,68
694,82;377,68
694,94;377,68
695,07;377,68
695,19;377,68
695,32;377,68
695,44;377,68
695,57;377,67
695,69;377,67
695,82;377,67
695,94;377,67
696,07;377,68
696,19;377,67
696,32;377,67
696,44;377,67
696,57;377,67
696,69;377,67
696,82;377,66
696,94;377,67
697,07;377,67
697,19;377,67
697,32;377,68
697,44;377,67
697,57;377,67
697,69;377,67
697,82;377,67
697,94;377,67
698,07;377,66
698,19;377,67
698,32;377,67
698,44;377,67
698,57;377,67
698,69;377,67
698,82;377,68
698,94;377,67
699,07;377,68
699,19;377,67
699,32;377,67
699,44;377,68
699,57;377,68
699,69;377,68
699,82;377,68
699,94;377,68
700,07;377,68
700,19;377,68
700,32;377,68
700,44;377,68
700,57;377,68
700,69;377,67
700,82;377,68
700,94;377,67
701,07;377,68
701,19;377,67
701,32;377,67
701,44;377,68
701,57;377,68
701,73;377,68
701,82;377,68
701,94;377,68
702,07;377,68
702,19;377,67
702,32;377,68
702,44;377,68
702,57;377,68
702,69;377,67
702,82;377,68
702,94;377,68
703,07;377,68
703,19;377,67
703,32;377,68
703,44;377,68
703,57;377,68
703,69;377,67
703,82;377,68
703,94;377,68
704,07;377,68
704,19;377,68
704,32;377,68
704,44;377,67
704,57;377,67
704,69;377,67
704,82;377,67
704,94;377,67
705,07;377,67
705,19;377,67
705,32;377,67
705,44;377,67
705,57;377,68
705,69;377,67
705,82;377,67
705,94;377,67
706,07;377,67
706,19;377,67
706,32;377,67
706,44;377,67
706,57;377,67
706,69;377,67
706,82;377,68
706,94;377,66
707,07;377,67
707,19;377,67
707,32;377,67
707,44;377,67
707,57;377,67
707,69;377,67
707,82;377,67
707,94;377,67
708,07;377,67
708,19;377,67
708,32;377,67
708,44;377,67
708,57;377,67
708,69;377,66
708,82;377,67
708,94;377,66
709,07;377,66
709,19;377,66
709,32;377,67
709,44;377,66
709,57;377,66
709,69;377,67
709,82;377,66
709,94;377,67
710,07;377,67
710,19;377,66
710,32;377,66
710,44;377,66
710,57;377,66
710,69;377,66
710,82;377,66
710,94;377,67
711,07;377,66
711,19;377,66
711,32;377,67
711,44;377,67
711,57;377,67
711,69;377,67
711,82;377,66
711,94;377,67
712,07;377,66
712,19;377,66
712,32;377,66
712,44;377,67
712,57;377,66
712,69;377,66
712,82;377,67
712,94;377,66
713,07;377,67
713,19;377,67
713,32;377,66
713,44;377,67
713,57;377,67
713,69;377,66
713,82;377,66
713,94;377,66
714,07;377,66
714,19;377,67
714,32;377,66
714,44;377,66
714,57;377,67
714,69;377,67
714,82;377,67
714,94;377,66
715,07;377,67
715,19;377,67
715,32;377,67
715,44;377,67
715,57;377,66
715,69;377,66
715,82;377,66
715,94;377,66
716,07;377,66
716,19;377,67
716,32;377,66
716,44;377,66
716,57;377,67
716,69;377,67
716,86;377,66
716,94;377,66
717,07;377,66
717,19;377,66
717,32;377,66
717,44;377,67
717,57;377,67
717,69;377,66
717,82;377,66
717,94;377,66
719,48;377,67
719,61;377,67
719,73;377,67
719,86;377,66
719,98;377,67
720,11;377,66
720,23;377,66
720,36;377,66
720,48;377,66
720,61;377,66
720,73;377,67
720,86;377,66
720,98;377,66
721,11;377,66
721,23;377,66
721,36;377,66
721,48;377,66
721,61;377,66
721,73;377,66
721,86;377,66
721,98;377,66
722,11;377,66
722,23;377,66
722,36;377,66
722,48;377,66
722,61;377,66
722,73;377,65
722,86;377,65
722,98;377,66
723,11;377,66
723,23;377,66
723,36;377,66
723,48;377,66
723,61;377,65
723,73;377,65
723,86;377,65
723,98;377,64
724,11;377,63
724,23;377,62
724,36;377,60
724,48;377,58
724,61;377,55
724,73;377,52
724,86;377,48
724,98;377,44
725,11;377,40
725,23;377,35
725,36;377,30
725,48;377,25
725,61;377,19
725,73;377,14
725,86;377,09
725,98;377,03
726,11;376,97
726,23;376,93
726,36;376,87
726,48;376,83
726,61;376,78
726,73;376,74
726,86;376,70
726,98;376,65
727,11;376,62
727,23;376,58
727,36;376,54
727,48;376,50
727,61;376,47
727,73;376,44
727,86;376,40
727,98;376,37
728,11;376,34
728,23;376,31
728,36;376,28
728,48;376,24
728,61;376,21
728,73;376,18
728,86;376,16
728,98;376,13
729,11;376,10
729,23;376,07
729,36;376,05
729,48;376,02
729,61;376,00
729,73;375,98
729,86;375,95
729,98;375,93
730,11;375,90
730,23;375,89
730,36;375,86
730,48;375,83
730,61;375,82
730,73;375,80
730,86;375,77
730,98;375,75
731,11;375,73
731,23;375,71
731,36;375,70
731,48;375,68
731,61;375,66
731,73;375,64
731,86;375,61
732,02;375,59
732,11;375,58
732,23;375,57
732,36;375,54
732,48;375,52
732,61;375,51
732,73;375,50
732,86;375,48
732,98;375,46
733,11;375,44
733,23;375,43
733,36;375,42
733,48;375,40
733,61;375,38
733,73;375,37
733,86;375,35
733,98;375,34
734,11;375,32
734,23;375,30
734,36;375,29
734,48;375,29
734,61;375,27
734,73;375,25
734,86;375,24
734,98;375,22
735,11;375,21
735,23;375,19
735,36;375,18
735,48;375,16
735,61;375,15
735,73;375,14
735,86;375,13
735,98;375,11
736,11;375,10
736,23;375,09
736,36;375,08
736,48;375,07
736,61;375,06
736,73;375,05
736,86;375,03
736,98;375,02
737,11;375,02
737,23;375,00
737,36;375,00
737,48;374,98
737,61;374,97
737,73;374,96
737,86;374,94
737,98;374,93
738,11;374,93
738,23;374,92
738,36;374,90
738,48;374,90
738,61;374,88
738,73;374,87
738,86;374,86
738,98;374,85
739,11;374,85
739,23;374,84
739,36;374,83
739,48;374,82
739,61;374,81
739,73;374,80
739,86;374,79
739,98;374,77
740,11;374,76
740,23;374,75
740,36;374,74
740,48;374,73
740,61;374,73
740,73;374,71
740,86;374,71
740,98;374,70
741,11;374,69
741,23;374,68
741,36;374,68
741,48;374,66
741,61;374,66
741,73;374,65
741,86;374,64
741,98;374,63
742,11;374,63
742,23;374,62
742,36;374,61
742,48;374,60
742,61;374,60
742,73;374,59
742,86;374,58
742,98;374,58
743,11;374,57
743,23;374,55
743,36;374,54
743,48;374,54
743,61;374,53
743,73;374,52
743,86;374,52
743,98;374,51
744,11;374,50
744,23;374,49
744,36;374,48
744,48;374,47
744,61;374,47
744,73;374,46
744,86;374,45
744,98;374,45
745,11;374,44
745,23;374,43
745,36;374,42
745,48;374,42
745,61;374,41
745,73;374,40
745,86;374,39
745,98;374,39
746,11;374,38
746,23;374,38
746,36;374,37
746,48;374,36
746,61;374,36
746,73;374,35
746,86;374,35
746,98;374,34
747,15;374,34
747,23;374,32
747,36;374,32
747,48;374,32
747,61;374,31
747,73;374,30
747,86;374,30
747,98;374,29
748,11;374,29
748,23;374,28
748,36;374,27
748,48;374,27
748,61;374,26
748,73;374,26
748,86;374,25
748,98;374,24
749,11;374,24
749,23;374,23
749,36;374,23
749,48;374,22
749,61;374,22
749,73;374,21
749,86;374,21
749,98;374,21
750,11;374,20
750,23;374,19
750,36;374,18
750,48;374,18
750,61;374,17
750,73;374,16
750,86;374,17
750,98;374,15
751,11;374,15
751,23;374,14
751,36;374,14
751,48;374,14
751,61;374,13
751,73;374,12
751,86;374,12
751,98;374,11
752,11;374,10
752,23;374,10
752,36;374,09
752,48;374,09
752,61;374,08
752,73;374,08
752,86;374,07
752,98;374,07
753,11;374,06
753,23;374,06
753,36;374,06
753,48;374,05
753,61;374,05
753,73;374,05
753,86;374,04
753,98;374,04
754,11;374,03
754,23;374,03
754,36;374,03
754,48;374,03
754,61;374,03
754,73;374,02
754,86;374,01
754,98;374,01
755,11;374,00
755,23;374,00
755,36;373,99
755,48;373,99
755,61;373,98
755,73;373,98
755,86;373,98
755,98;373,97
756,11;373,97
756,23;373,96
756,36;373,96
756,48;373,96
756,61;373,95
756,73;373,94
756,86;373,94
756,98;373,93
757,11;373,93
757,23;373,92
757,36;373,92
757,48;373,92
757,61;373,92
757,73;373,91
757,86;373,90
757,98;373,90
758,11;373,90
758,23;373,89
758,36;373,89
758,48;373,89
758,61;373,88
758,73;373,87
758,86;373,87
758,98;373,86
759,11;373,86
759,23;373,86
759,36;373,85
759,48;373,85
759,61;373,85
759,73;373,84
759,86;373,83
759,98;373,83
760,11;373,84
760,23;373,83
760,36;373,82
760,48;373,82
760,61;373,82
760,73;373,81
760,86;373,81
760,98;373,81
761,11;373,80
761,23;373,80
761,36;373,80
761,48;373,80
761,61;373,80
761,73;373,79
761,86;373,78
761,98;373,78
762,11;373,79
762,27;373,78
762,36;373,77
762,48;373,77
762,61;373,76
762,73;373,76
762,86;373,75
762,98;373,76
763,11;373,75
763,23;373,74
763,36;373,75
763,48;373,75
763,61;373,74
763,73;373,74
763,86;373,73
763,98;373,73
764,11;373,73
764,24;373,72
764,36;373,72
764,48;373,72
764,61;373,72
764,73;373,71
764,86;373,71
764,98;373,71
765,11;373,70
765,23;373,69
765,36;373,69
765,48;373,69
765,61;373,69
765,73;373,68
765,86;373,68
765,99;373,68
766,11;373,68
766,23;373,68
766,36;373,67
766,48;373,67
766,61;373,67
766,73;373,66
766,86;373,66
766,98;373,66
767,11;373,65
767,23;373,65
767,36;373,65
767,48;373,65
767,61;373,64
767,73;373,64
767,86;373,64
767,98;373,63
768,11;373,63
768,23;373,63
768,36;373,62
768,48;373,62
768,61;373,62
768,73;373,61
768,86;373,61
768,98;373,62
769,11;373,61
769,23;373,60
769,36;373,60
769,48;373,60
769,61;373,60
769,73;373,60
769,86;373,59
769,98;373,59
770,11;373,59
770,23;373,59
770,36;373,58
770,48;373,58
770,61;373,58
770,73;373,57
770,86;373,57
770,98;373,57
771,11;373,57
771,23;373,57
771,36;373,57
771,48;373,56
771,61;373,55
771,73;373,55
771,86;373,56
771,98;373,55
772,11;373,55
772,23;373,54
772,36;373,54
772,48;373,54
772,61;373,54
772,73;373,54
772,86;373,53
772,98;373,54
773,11;373,53
773,23;373,53
773,36;373,53
773,48;373,52
773,61;373,52
773,73;373,52
773,86;373,52
773,98;373,51
774,11;373,51
774,23;373,51
774,36;373,50
774,48;373,50
774,61;373,50
774,73;373,50
774,86;373,49
774,98;373,50
775,11;373,50
775,23;373,49
775,36;373,49
775,48;373,49
775,61;373,48
775,73;373,48
775,86;373,48
775,98;373,48
776,11;373,48
776,23;373,48
776,36;373,47
776,48;373,47
776,61;373,46
776,73;373,46
776,86;373,46
776,98;373,46
777,11;373,46
777,23;373,45
777,40;373,45
777,48;373,44
777,61;373,45
777,73;373,45
777,86;373,44
777,98;373,43
778,11;373,43
778,23;373,43
778,36;373,43
778,48;373,43
778,61;373,43
778,73;373,43
778,86;373,43
778,98;373,43
779,11;373,42
779,23;373,42
779,36;373,42
779,48;373,42
779,61;373,41
779,73;373,41
779,86;373,41
779,98;373,40
780,11;373,40
780,23;373,40
780,36;373,40
780,48;373,40
780,61;373,39
780,74;373,39
780,86;373,39
780,98;373,39
781,11;373,39
781,23;373,39
781,36;373,39
781,48;373,38
781,61;373,38
781,74;373,38
781,86;373,38
781,98;373,38
782,11;373,38
782,23;373,37
782,36;373,37
782,48;373,37
782,61;373,37
782,73;373,36
782,86;373,36
782,98;373,36
783,11;373,36
783,23;373,36
783,36;373,35
783,49;373,35
783,61;373,35
783,73;373,34
783,86;373,34
783,98;373,34
784,11;373,34
784,23;373,34
784,36;373,33
784,48;373,33
784,61;373,33
784,73;373,33
784,86;373,32
784,98;373,33
785,11;373,32
785,23;373,33
785,36;373,32
785,48;373,33
785,61;373,32
785,73;373,32
785,86;373,32
785,98;373,32
786,11;373,32
786,23;373,32
786,36;373,31
786,48;373,31
786,61;373,31
786,73;373,31
786,86;373,31
786,98;373,30
787,11;373,30
787,23;373,30
787,36;373,30
787,48;373,30
787,61;373,30
787,74;373,29
787,86;373,29
787,98;373,29
788,11;373,29
788,23;373,29
788,36;373,29
788,48;373,29
788,61;373,29
788,73;373,29
788,86;373,29
788,98;373,28
789,11;373,28
789,23;373,28
789,36;373,28
789,48;373,28
789,61;373,27
789,73;373,27
789,86;373,27
789,98;373,26
790,11;373,27
790,23;373,26
790,36;373,27
790,48;373,26
790,61;373,26
790,73;373,27
790,86;373,25
790,98;373,26
791,11;373,25
791,23;373,26
791,36;373,25
791,48;373,25
791,61;373,25
791,73;373,25
791,86;373,25
791,98;373,25
792,11;373,24
792,23;373,24
792,36;373,24
792,52;373,24
792,61;373,24
792,73;373,23
792,86;373,23
792,98;373,23
793,11;373,23
793,23;373,22
793,36;373,22
793,48;373,22
793,61;373,22
793,73;373,22
793,86;373,23
793,98;373,23
794,11;373,23
794,23;373,23
794,36;373,22
794,48;373,22
794,61;373,22
794,73;373,22
794,86;373,21
794,98;373,21
795,11;373,21
795,23;373,22
795,36;373,20
795,48;373,20
795,61;373,20
795,73;373,20
795,86;373,20
795,98;373,19
796,11;373,20
796,23;373,19
796,36;373,19
796,48;373,19
796,61;373,19
796,73;373,19
796,86;373,19
796,98;373,19
797,11;373,19
797,23;373,19
797,36;373,18
797,48;373,18
797,61;373,19
797,73;373,19
797,86;373,19
797,98;373,18
798,11;373,18
798,23;373,17
798,36;373,17
798,48;373,17
798,61;373,17
798,73;373,17
798,86;373,17
798,98;373,17
799,11;373,16
799,23;373,16
799,36;373,17
799,48;373,17
799,61;373,16
799,73;373,16
799,86;373,16
799,98;373,16
800,11;373,15
800,23;373,15
800,36;373,15
800,48;373,15
800,61;373,15
800,73;373,15
800,86;373,15
800,98;373,14
801,11;373,14
801,23;373,15
801,36;373,14
801,48;373,13
801,61;373,13
801,73;373,13
801,86;373,13
801,98;373,13
802,11;373,13
802,23;373,12
802,36;373,13
802,48;373,12
802,61;373,12
802,73;373,12
802,86;373,12
802,98;373,12
803,11;373,12
803,23;373,12
803,36;373,12
803,48;373,12
803,61;373,12
803,73;373,12
803,86;373,11
803,98;373,11
804,11;373,12
804,24;373,11
804,36;373,11
804,48;373,11
804,61;373,11
804,73;373,11
804,86;373,11
804,98;373,11
805,11;373,10
805,24;373,11
805,36;373,11
805,48;373,11
805,61;373,11
805,73;373,11
805,86;373,10
805,98;373,11
806,11;373,10
806,23;373,09
806,36;373,10
806,48;373,09
806,61;373,09
806,73;373,09
806,86;373,09
806,98;373,09
807,11;373,09
807,23;373,09
807,36;373,09
807,48;373,09
807,65;373,08
807,73;373,08
807,86;373,09
807,98;373,09
808,11;373,08
808,23;373,08
808,36;373,08
808,48;373,08
808,61;373,07
808,73;373,07
808,86;373,07
808,98;373,07
809,11;373,07
809,23;373,07
809,36;373,07
809,48;373,07
809,61;373,07
809,74;373,07
809,86;373,06
809,98;373,07
810,11;373,07
810,23;373,07
810,36;373,07
810,48;373,07
810,61;373,06
810,73;373,06
810,86;373,06
810,98;373,06
811,11;373,06
811,23;373,06
811,36;373,06
811,48;373,06
811,61;373,05
811,73;373,05
811,86;373,05
811,98;373,05
812,11;373,05
812,23;373,05
812,36;373,04
812,49;373,04
812,61;373,04
812,73;373,04
812,86;373,04
812,99;373,04
813,11;373,05
813,23;373,04
813,36;373,04
813,48;373,04
813,61;373,04
813,73;373,04
813,86;373,03
813,98;373,04
814,11;373,03
814,23;373,03
814,36;373,03
814,48;373,04
814,61;373,03
814,73;373,03
814,86;373,04
814,98;373,03
815,11;373,03
815,23;373,03
815,36;373,03
815,48;373,02
815,61;373,02
815,73;373,02
815,86;373,02
815,98;373,02
816,11;373,02
816,23;373,02
816,36;373,02
816,48;373,01
816,61;373,01
816,74;373,01
816,86;373,01
816,98;373,01
817,11;373,01
817,23;373,01
817,36;373,02
817,48;373,02
817,61;373,02
817,73;373,02
817,86;373,02
817,98;373,02
818,11;373,02
818,23;373,02
818,36;373,01
818,48;373,01
818,61;373,01
818,73;373,00
818,86;373,00
818,98;373,00
819,11;373,00
819,23;373,00
819,36;373,00
819,48;373,00
819,61;373,00
819,73;373,00
819,86;372,99
819,98;373,00
820,11;372,99
820,23;372,99
820,36;372,99
820,48;372,99
820,61;373,00
820,73;373,00
820,86;372,99
820,98;372,99
821,11;372,98
821,24;372,98
821,36;372,98
821,48;372,98
821,61;372,98
821,73;372,98
821,86;372,98
821,98;372,98
822,11;372,97
822,23;372,98
822,36;372,98
822,48;372,98
822,61;372,98
822,78;372,97
822,86;372,97
822,98;372,98
823,11;372,97
823,23;372,97
823,36;372,97
823,48;372,98
823,61;372,98
823,73;372,98
823,86;372,97
823,98;372,97
824,11;372,97
824,23;372,96
824,36;372,97
824,49;372,97
824,61;372,97
824,73;372,97
824,86;372,97
824,98;372,97
825,11;372,97
825,23;372,97
825,36;372,97
825,48;372,96
825,61;372,96
825,73;372,96
825,86;372,96
825,98;372,96
826,11;372,96
826,23;372,97
826,36;372,96
826,48;372,96
826,61;372,95
826,73;372,96
826,86;372,96
826,98;372,96
827,11;372,95
827,23;372,95
827,36;372,95
827,48;372,95
827,61;372,95
827,74;372,95
827,86;372,95
827,98;372,95
828,11;372,95
828,23;372,95
828,36;372,94
828,48;372,94
828,61;372,94
828,73;372,94
828,86;372,94
828,98;372,94
829,11;372,93
829,23;372,94
829,36;372,94
829,48;372,93
829,61;372,93
829,73;372,94
829,86;372,93
829,98;372,94
830,11;372,94
830,23;372,94
